,RIDAGEYR,RIDAGEYR,RIAGENDR,RIAGENDR,BMXBMI,BMXBMI,BPXSY1,BPXSY1,BPXDI1,BPXDI1,LBXTC,LBXTC,SMQ020,SMQ020,ALQ101,ALQ101,LBXGH,LBXGH
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Cluster,,,,,,,,,,,,,,,,,,
-1,56.87,18.65,1.49,0.5,31.07,7.57,129.58,21.09,67.38,17.9,180.35,44.39,1.54,0.5,1.46,0.99,6.3,1.41
0,19.29,21.36,1.0,0.0,23.06,5.91,115.93,9.84,65.47,9.2,171.46,22.63,2.0,0.0,1.0,0.0,5.49,0.28
1,54.85,17.01,1.0,0.0,27.41,3.82,122.45,11.3,69.81,7.85,177.13,26.97,1.0,0.0,1.0,0.0,5.49,0.42
2,24.9,24.52,2.0,0.0,24.56,6.68,115.33,11.79,65.27,8.47,177.24,25.06,2.0,0.0,1.0,0.0,5.52,0.33
3,57.85,13.1,2.0,0.0,30.53,4.15,120.52,8.8,70.1,6.34,205.74,32.9,2.0,0.0,2.0,0.0,5.68,0.45
4,55.76,15.85,2.0,0.0,28.15,5.33,119.25,10.82,69.9,6.22,189.03,31.29,1.0,0.0,1.0,0.0,5.48,0.31
5,64.08,1.02,2.0,0.0,25.45,0.61,138.0,0.0,56.0,0.0,154.0,13.22,1.0,0.0,1.0,0.0,6.16,0.15
6,69.45,7.56,1.0,0.0,27.21,2.11,148.64,6.6,63.36,1.89,185.05,9.9,2.0,0.0,1.0,0.0,6.19,0.04
7,71.36,7.61,1.0,0.0,29.86,1.37,114.18,4.14,67.45,0.93,209.27,9.85,1.0,0.0,2.0,0.0,5.97,0.18
8,64.8,3.61,1.0,0.0,27.28,1.91,134.8,1.03,65.6,2.07,130.6,9.81,1.0,0.0,1.0,0.0,7.56,0.05
9,73.21,2.49,2.0,0.0,43.91,1.69,120.0,0.0,68.0,0.0,251.93,8.45,2.0,0.0,1.0,0.0,5.71,0.15
10,78.85,1.52,2.0,0.0,24.05,2.18,170.46,2.03,72.92,4.05,250.08,4.05,2.0,0.0,2.0,0.0,5.55,0.2
11,68.75,9.01,1.0,0.0,26.28,0.47,138.62,2.5,78.62,4.18,121.12,5.82,1.0,0.0,1.0,0.0,5.99,0.22
12,80.0,0.0,2.0,0.0,25.1,0.0,150.0,0.0,78.0,0.0,199.0,0.0,2.0,0.0,2.0,0.0,5.4,0.0
13,74.35,0.49,2.0,0.0,33.72,1.71,130.8,3.91,54.1,2.94,143.25,7.34,1.0,0.0,1.0,0.0,7.0,0.15
14,62.0,0.0,1.0,0.0,52.3,0.0,120.0,0.0,68.0,0.0,121.0,0.0,1.0,0.0,2.0,0.0,6.8,0.0
15,57.0,0.0,2.0,0.0,64.7,0.0,116.0,0.0,78.0,0.0,118.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0
16,53.36,2.11,2.0,0.0,53.9,0.99,124.36,1.21,77.45,1.81,218.36,5.43,1.0,0.0,1.0,0.0,6.32,0.06
17,24.62,9.15,2.0,0.0,22.36,3.44,106.62,6.54,63.19,7.36,167.27,18.24,2.0,0.0,2.0,0.0,5.27,0.31
18,73.0,1.79,2.0,0.0,24.7,0.54,140.0,3.58,51.5,0.89,199.25,6.71,1.0,0.0,1.0,0.0,5.4,0.18
19,38.0,0.0,2.0,0.0,58.6,0.0,120.0,0.0,68.0,0.0,143.0,0.0,1.0,0.0,1.0,0.0,5.9,0.0
20,67.5,5.92,2.0,0.0,31.53,3.05,133.33,2.99,74.0,1.21,238.58,13.21,2.0,0.0,1.0,0.0,5.58,0.12
21,57.0,0.0,1.0,0.0,42.3,0.0,126.0,0.0,54.0,0.0,90.0,0.0,2.0,0.0,1.0,0.0,8.9,0.0
22,61.53,1.74,1.0,0.0,30.57,2.24,115.13,3.35,67.27,0.98,127.6,9.43,1.0,0.0,1.0,0.0,7.67,0.36
23,64.47,1.96,1.0,0.0,37.66,0.37,140.67,1.95,68.67,5.94,209.47,5.03,1.0,0.0,1.0,0.0,6.0,0.15
24,68.0,1.03,2.0,0.0,34.3,2.69,120.0,0.0,68.0,0.0,117.0,3.1,2.0,0.0,2.0,0.0,9.4,0.1
25,48.89,8.52,1.0,0.0,30.78,1.01,131.33,3.74,87.56,2.96,235.89,3.26,1.0,0.0,1.0,0.0,5.41,0.28
26,34.43,10.27,2.0,0.0,28.91,1.33,115.04,4.43,65.91,2.52,176.35,7.15,1.0,0.0,2.0,0.0,5.08,0.23
27,54.8,6.47,2.0,0.0,47.54,2.6,120.26,0.68,67.74,0.68,164.17,19.36,1.0,0.0,1.0,0.0,5.45,0.36
28,71.0,0.0,1.0,0.0,39.3,0.0,136.0,0.0,58.0,0.0,131.0,0.0,1.0,0.0,1.0,0.0,5.6,0.0
29,44.0,0.0,2.0,0.0,27.5,0.0,120.0,0.0,68.0,0.0,216.0,0.0,2.0,0.0,2.0,0.0,7.2,0.0
30,20.6,3.27,1.0,0.0,21.35,1.91,116.2,3.71,69.6,5.32,123.5,15.62,2.0,0.0,2.0,0.0,5.32,0.23
31,69.64,0.81,2.0,0.0,22.07,1.17,126.55,3.24,80.36,0.81,141.18,9.3,2.0,0.0,2.0,0.0,6.25,0.12
32,66.64,7.94,2.0,0.0,46.01,1.87,120.0,0.0,68.0,0.0,218.09,8.41,1.0,0.0,1.0,0.0,6.03,0.05
33,54.21,3.09,2.0,0.0,34.14,1.45,116.71,4.2,72.57,6.0,275.79,13.59,1.0,0.0,1.0,0.0,5.73,0.26
34,73.42,0.51,1.0,0.0,32.74,1.91,130.0,0.0,57.33,4.12,153.58,11.84,2.0,0.0,1.0,0.0,7.0,0.0
35,80.0,0.0,1.0,0.0,24.4,0.0,120.0,0.0,68.0,0.0,225.0,0.0,2.0,0.0,9.0,0.0,5.2,0.0
36,55.0,0.0,1.0,0.0,38.5,0.0,120.0,0.0,80.0,0.0,273.0,0.0,1.0,0.0,1.0,0.0,6.2,0.0
37,55.0,0.0,2.0,0.0,40.0,0.0,94.0,0.0,56.0,0.0,271.0,0.0,1.0,0.0,2.0,0.0,5.7,0.0
38,66.0,0.0,1.0,0.0,35.4,0.0,124.0,0.0,80.0,0.0,134.0,0.0,1.0,0.0,2.0,0.0,5.8,0.0
39,48.0,0.0,2.0,0.0,28.6,0.0,114.0,0.0,92.0,0.0,261.0,0.0,1.0,0.0,1.0,0.0,5.3,0.0
40,52.91,12.46,1.0,0.0,28.5,2.36,115.27,4.58,73.45,5.07,178.73,15.15,2.0,0.0,2.0,0.0,5.44,0.23
41,53.0,0.0,1.0,0.0,48.8,0.0,120.0,0.0,68.0,0.0,155.0,0.0,1.0,0.0,2.0,0.0,10.2,0.0
42,80.0,0.0,1.0,0.0,26.6,0.0,144.0,0.0,54.0,0.0,95.0,0.0,2.0,0.0,2.0,0.0,6.2,0.0
43,43.0,0.0,1.0,0.0,37.6,0.0,96.0,0.0,66.0,0.0,101.0,0.0,2.0,0.0,1.0,0.0,6.3,0.0
44,55.22,6.59,2.0,0.0,37.42,2.7,136.22,3.07,77.78,0.67,242.44,7.28,2.0,0.0,2.0,0.0,5.58,0.33
45,54.0,0.0,1.0,0.0,41.6,0.0,134.0,0.0,80.0,0.0,230.0,0.0,1.0,0.0,1.0,0.0,8.2,0.0
46,48.0,0.0,1.0,0.0,17.3,0.0,158.0,0.0,78.0,0.0,176.0,0.0,1.0,0.0,1.0,0.0,5.1,0.0
47,46.0,0.0,2.0,0.0,35.8,0.0,128.0,0.0,78.0,0.0,234.0,0.0,2.0,0.0,1.0,0.0,6.6,0.0
48,76.0,0.0,2.0,0.0,17.2,0.0,120.0,0.0,68.0,0.0,154.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0
49,61.0,0.0,1.0,0.0,39.9,0.0,122.0,0.0,56.0,0.0,196.0,0.0,1.0,0.0,1.0,0.0,5.8,0.0
50,65.6,2.5,2.0,0.0,26.98,0.53,122.2,4.05,52.4,0.84,192.8,4.24,2.0,0.0,2.0,0.0,6.41,0.43
51,66.0,0.0,1.0,0.0,43.1,0.0,130.0,0.0,72.0,0.0,119.0,0.0,2.0,0.0,2.0,0.0,8.1,0.0
52,58.0,0.0,2.0,0.0,55.7,0.0,118.0,0.0,70.0,0.0,139.0,0.0,2.0,0.0,1.0,0.0,7.3,0.0
53,58.0,0.0,2.0,0.0,77.5,0.0,126.0,0.0,88.0,0.0,246.0,0.0,2.0,0.0,1.0,0.0,6.7,0.0
54,67.0,0.0,2.0,0.0,38.4,0.0,136.0,0.0,50.0,0.0,230.0,0.0,1.0,0.0,1.0,0.0,6.3,0.0
55,56.0,0.0,1.0,0.0,29.2,0.0,118.0,0.0,70.0,0.0,152.0,0.0,1.0,0.0,1.0,0.0,11.1,0.0
56,69.38,6.5,1.0,0.0,30.83,1.1,125.38,2.9,72.38,2.45,136.62,16.22,2.0,0.0,1.0,0.0,6.79,0.05
57,56.0,0.0,1.0,0.0,27.5,0.0,170.0,0.0,70.0,0.0,142.0,0.0,1.0,0.0,1.0,0.0,5.9,0.0
